Length;Word count;Time, ms
2654;300;2,791060
5574;600;3,473065
8065;900;2,130085
10925;1200;1,616095
45064;5000;6,310485
135144;15000;15,514110
271651;30000;31,259370
407474;45000;44,078690
812399;90000;90,351425
1625726;180000;167,581865
2437257;270000;246,537225
2707513;300000;265,826710
2981652;330000;290,238675
3257146;360000;312,152420
3527987;390000;370,313180
3804350;420000;376,466655
4067500;450000;430,359855
4143480;460000;429,840270
4234665;470000;441,462815
4323399;480000;451,052195
4413358;490000;434,432295
4500658;500000;477,802325
4594042;510000;470,964775
