Length;Word count;Time, ms
2654;300;1,660045
5574;600;2,280510
8065;900;2,417965
10925;1200;2,447640
45064;5000;7,264280
135144;15000;22,068845
271651;30000;44,928355
407474;45000;66,850185
812399;90000;134,120295
1625726;180000;259,062690
2437257;270000;376,502855
2707513;300000;412,978435
2981652;330000;453,297175
3257146;360000;487,636145
3527987;390000;548,180330
3804350;420000;588,012695
4067500;450000;651,559690
4143480;460000;644,746260
4234665;470000;697,184570
4323399;480000;683,706415
4413358;490000;691,243875
4500658;500000;723,936320
4594042;510000;1096,399960
