Length;Word count;Time, ms
2654;300;1,622760
5574;600;1,439730
8065;900;1,082620
10925;1200;1,275760
45064;5000;5,095015
135144;15000;12,798155
271651;30000;24,873225
407474;45000;37,497665
812399;90000;75,020635
1625726;180000;151,901185
2437257;270000;233,432235
2707513;300000;256,058210
2981652;330000;288,192455
3257146;360000;318,692710
3527987;390000;381,975400
3804350;420000;396,428935
4067500;450000;440,256000
4143480;460000;434,600465
4234665;470000;463,962590
4323399;480000;476,873190
4413358;490000;500,139345
4500658;500000;496,319600
4594042;510000;504,171865
