Length;Word count;Time, ms
2654;300;0,752635
5574;600;0,827910
8065;900;0,989530
10925;1200;1,296580
45064;5000;4,799435
135144;15000;13,316665
271651;30000;22,665360
407474;45000;37,748665
812399;90000;71,269340
1625726;180000;132,428770
2437257;270000;188,400055
2707513;300000;207,725595
2981652;330000;230,321060
3257146;360000;257,300045
3527987;390000;303,160520
3804350;420000;292,061810
4067500;450000;312,758610
4143480;460000;318,914970
4234665;470000;326,044005
4323399;480000;332,454925
4413358;490000;340,240455
4500658;500000;346,332480
4594042;510000;353,466870
